task,dataset,lpips,clipiqa_val,psnr,ssim
gaussian_blur,AFHQ,0.3897039067745209,0.26625334471464157,30.42609584526439,0.8022531
gaussian_blur,DIV2K_valid_HR,0.4034728255867958,0.3901976539939642,26.326776355624762,0.7460241
gaussian_blur,RealSR,0.42545806854963303,0.21900795907713472,27.297391243156177,0.7386393
inpainting,AFHQ,0.444841613471508,0.8278825622797013,27.03235527705841,0.7341426
inpainting,DIV2K_valid_HR,0.3721943098306656,0.8094004321098328,25.624915699026747,0.74540323
inpainting,RealSR,0.3808046391403133,0.7109117298810319,26.470705427959697,0.7326402
motion_blur,AFHQ,0.3675156398117542,0.31221789538860323,30.421527436661663,0.80976605
motion_blur,DIV2K_valid_HR,0.3610257337987423,0.4252968279644847,27.27648547923398,0.78126234
motion_blur,RealSR,0.3618772059679031,0.3248905374482274,28.793895268883798,0.79541993
super_resolution,AFHQ,0.33172270476818083,0.2273353247717023,30.343306845385282,0.817633
super_resolution,DIV2K_valid_HR,0.3703106215596199,0.31552099184133114,26.162757058544045,0.75462234
super_resolution,RealSR,0.3716874927282333,0.1965892975591123,26.89401704732122,0.7493744
