task,dataset,psnr,ssim,lpips,dists,clipiqa,musiq
inpainting,AFHQ,29.270167037925365,0.7720977,0.4106054645776749,0.20763440549373627,0.5733211740851403,36.48473457336426
inpainting,DIV2K_valid_HR,24.66966975287262,0.6704541,0.46433370679616925,0.23904773712158203,0.49656106501817704,38.038478240966796
inpainting,RealSR,25.810516315599834,0.68692595,0.4545977757871151,0.25081665694713595,0.3504271321557462,35.957379531860354
deblur_gauss,AFHQ,23.842093544707755,0.62661767,0.5419474768638611,0.3041616624593735,0.27704072460532186,15.812028770446778
deblur_gauss,DIV2K_valid_HR,20.411418350058238,0.49077597,0.6208148646354675,0.3449568945169449,0.23151959396898747,16.68219792366028
deblur_gauss,RealSR,21.421839826316592,0.5119817,0.6267581698298454,0.35558496475219725,0.19119786880910397,16.649564237594603
sr_bicubic,AFHQ,29.23440439427759,0.7909693,0.38484647378325465,0.19020980179309846,0.6424927926063537,38.77186716079712
sr_bicubic,DIV2K_valid_HR,25.084225097991713,0.705865,0.4322694633901119,0.2177141237258911,0.5955120292305947,38.502274150848386
sr_bicubic,RealSR,25.888767535313768,0.7083783,0.42853610396385194,0.23549227118492128,0.43839554212987425,35.42217435836792
deblur_motion,AFHQ,24.767793414665096,0.6607885,0.5030269905924797,0.2771204787492752,0.37072585299611094,19.987635440826416
deblur_motion,DIV2K_valid_HR,21.27085335092522,0.5355766,0.5693543255329132,0.31864550709724426,0.34282048150897027,19.757873859405517
deblur_motion,RealSR,22.498818753171477,0.5638908,0.5644309079647064,0.3258864617347717,0.2622560550644994,20.771503925323486
