task,dataset,psnr,ssim,lpips,dists,clipiqa,musiq
deblur_gauss,AFHQ,23.870856001885578,0.6273213,0.5411473608016968,0.3035796636343002,0.27826962783932685,15.888434553146363
deblur_gauss,DIV2K_valid_HR,20.408924193242203,0.49074805,0.6201740163564682,0.3449139243364334,0.22761436231434345,16.679417238235473
deblur_gauss,RealSR,21.415864451292187,0.5123477,0.6266124773025513,0.3560927790403366,0.1882265831530094,16.68167555809021
deblur_motion,AFHQ,24.784530634687528,0.6613514,0.5027590718865395,0.27764055132865906,0.369047064781189,19.86431673049927
deblur_motion,DIV2K_valid_HR,21.279417640700135,0.5361711,0.5692234638333321,0.31831911027431486,0.3440813860297203,19.819956569671632
deblur_motion,RealSR,22.511047908303453,0.5644664,0.5642979681491852,0.3261508649587631,0.2635216500610113,20.876185903549196
inpainting,AFHQ,29.3499205188049,0.77423316,0.4086041566729546,0.20565688133239746,0.5803315806388855,37.01626153945923
inpainting,DIV2K_valid_HR,24.756584076068833,0.67329323,0.46215861812233927,0.23619828701019288,0.49958518117666245,38.87047393798828
inpainting,RealSR,25.892508686432343,0.69068754,0.45200165346264837,0.24863524317741395,0.3543373600952327,36.612276000976564
sr_bicubic,AFHQ,29.248492516365836,0.7920436,0.38385397642850877,0.18974667072296142,0.6463767597079277,39.00932012557983
sr_bicubic,DIV2K_valid_HR,25.090329000972137,0.70702904,0.43159312441945075,0.21669342398643493,0.5984211690723896,38.67413827896118
sr_bicubic,RealSR,25.91590522176073,0.7100977,0.42720773875713347,0.23465954542160034,0.4420974645018578,35.65370458602905
