task,dataset,lpips,clipiqa_val,psnr,ssim
deblur_gauss,AFHQ,0.5411476120352745,0.27825167939066886,23.870856001885578,0.6273213
deblur_gauss,DIV2K_valid_HR,0.6201739007234573,0.22763800725340844,20.408924193242203,0.49074805
deblur_gauss,RealSR,0.6266124874353409,0.1882008919119835,21.415864451292187,0.5123477
deblur_motion,AFHQ,0.5027590477466584,0.3690309306979179,24.784530634687528,0.6613514
deblur_motion,DIV2K_valid_HR,0.569223379790783,0.344055907279253,21.279417640700135,0.5361711
deblur_motion,RealSR,0.564297770857811,0.2635291453450918,22.511047908303453,0.5644664
inpainting,AFHQ,0.40860425159335134,0.5803592544794083,29.3499205188049,0.77423316
inpainting,DIV2K_valid_HR,0.46215850666165353,0.49956747606396673,24.756584076068833,0.67329323
inpainting,RealSR,0.4520016837120056,0.35433845514431594,25.892508686432343,0.69068754
sr_bicubic,AFHQ,0.3838539935648441,0.6463894516229629,29.248492516365836,0.7920436
sr_bicubic,DIV2K_valid_HR,0.4315930838882923,0.5984602954983711,25.090329000972137,0.70702904
sr_bicubic,RealSR,0.42720777451992037,0.44206904876977204,25.91590522176073,0.7100977
