task,dataset,psnr,ssim,lpips,dists,clipiqa,musiq
sr_bicubic,AFHQ,28.74953107475161,0.7638244,0.3681205120682716,0.15057192504405975,0.3731136529147625,52.73703197479248
sr_bicubic,DIV2K_valid_HR,24.919007052040023,0.6884011,0.4209871791303158,0.1666616040468216,0.5053896450251341,47.1862748336792
sr_bicubic,RealSR,26.106685349077143,0.707628,0.4327385851740837,0.1836380887031555,0.34389633752405646,46.24333303451538
inpainting,AFHQ,27.626298100414314,0.73225456,0.4071711814403534,0.16568500101566314,0.4272318220883608,56.69646722793579
inpainting,DIV2K_valid_HR,24.012516667761055,0.64841545,0.4689972561597824,0.18650063514709472,0.5419921610876918,49.488308143615725
inpainting,RealSR,25.68079291879844,0.68718207,0.4698785389959812,0.1956283098459244,0.35556616229936483,49.28052835464477
deblur_motion,AFHQ,24.807315996492537,0.63809997,0.46051684111356733,0.21483565747737884,0.27520574286580085,47.766672401428224
deblur_motion,DIV2K_valid_HR,21.07419476353464,0.51137275,0.5433104220032692,0.25737168312072756,0.3860887360945344,39.56374378204346
deblur_motion,RealSR,22.504503232535555,0.5469185,0.5454055032134056,0.2666236925125122,0.26675747385248544,41.0072416305542
deblur_gauss,AFHQ,24.145376915456215,0.6041397,0.4885957518219948,0.23578911602497102,0.23323751784861088,42.74074970245361
deblur_gauss,DIV2K_valid_HR,20.228070921434277,0.45929945,0.578393608033657,0.28591041922569277,0.31864756444469094,35.90293259620667
deblur_gauss,RealSR,21.21061705734082,0.47345275,0.5936593082547188,0.29943849503993986,0.21913237750530243,38.2338512134552
