task,dataset,psnr,ssim,lpips,dists,clipiqa,musiq
deblur_gauss,AFHQ,23.69048067625745,0.5823773,0.5522843798995019,0.26803170442581176,0.15364796990528704,30.279549531936645
deblur_gauss,DIV2K_valid_HR,20.222372697917674,0.4488613,0.6132733511924744,0.30246791779994964,0.1964257007278502,30.508597116470337
deblur_gauss,RealSR,21.213827293579016,0.47006378,0.6102963262796401,0.31035729229450226,0.17269040032289923,33.67589645385742
deblur_motion,AFHQ,24.49329364691273,0.61936885,0.5234576651453972,0.24425257563591005,0.20046660784631967,36.63084840774536
deblur_motion,DIV2K_valid_HR,21.04651244303661,0.5019328,0.5767362654209137,0.2712721085548401,0.26062533367425206,34.20642460823059
deblur_motion,RealSR,22.546777481276052,0.54394174,0.5627172130346298,0.27531605541706083,0.2182302272506058,37.83554927825928
inpainting,AFHQ,27.530914139212076,0.72062784,0.4665448206663132,0.18030136287212373,0.35289778307080266,49.13657527923584
inpainting,DIV2K_valid_HR,24.038461246619043,0.64371413,0.5012915340065957,0.1909009909629822,0.47230674169957637,46.88919975280762
inpainting,RealSR,25.77824666298823,0.6862494,0.4836192071437836,0.19321215867996216,0.3230304206861183,46.53735765457154
sr_bicubic,AFHQ,28.595624019299276,0.7496762,0.4238189098238945,0.16137620210647582,0.35385667860507963,47.60538042068482
sr_bicubic,DIV2K_valid_HR,24.826294097209935,0.6754651,0.45412111476063727,0.17136831283569337,0.46249564956873657,44.79679502487183
sr_bicubic,RealSR,26.100697553700883,0.70291,0.44696879386901855,0.18342477023601533,0.3217302408628166,44.49290504455566
