task,dataset,lpips,clipiqa_val,psnr,ssim
deblur_gauss,AFHQ,0.5522845196723938,0.15363935198634862,23.69048067625745,0.5823773
deblur_gauss,DIV2K_valid_HR,0.6132733762264252,0.1964537634141743,20.222372697917674,0.4488613
deblur_gauss,RealSR,0.6102964699268341,0.17266471087932586,21.213827293579016,0.47006378
deblur_motion,AFHQ,0.5234576839208603,0.20050655223429203,24.49329364691273,0.61936885
deblur_motion,DIV2K_valid_HR,0.5767361506819725,0.2606103944405913,21.04651244303661,0.5019328
deblur_motion,RealSR,0.5627172994613647,0.218252208288759,22.546777481276052,0.54394174
inpainting,AFHQ,0.4665448132157326,0.3529089346528053,27.530914139212076,0.72062784
inpainting,DIV2K_valid_HR,0.5012915116548539,0.4722856190428138,24.038461246619043,0.64371413
inpainting,RealSR,0.483619217723608,0.3230709007428959,25.77824666298823,0.6862494
sr_bicubic,AFHQ,0.4238190832734108,0.3538393672555685,28.595624019299276,0.7496762
sr_bicubic,DIV2K_valid_HR,0.4541211044788361,0.4625063608586788,24.826294097209935,0.6754651
sr_bicubic,RealSR,0.4469687774777412,0.3217593813221902,26.100697553700883,0.70291
